source_id,rup106_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
6078980987162477184,657,0.18592770811000964,0.09350663,189.5159426284038,-51.197538671228806,17.666508,-4.905182344921331,0.08692591,1.9204451561899316,0.07650665,2.3022981192513443E-5
6078980269911727744,658,0.5076233037587161,0.033710092,189.5508618488252,-51.19708327559926,15.576816,-8.887590300619497,0.031014467,-1.5646061419793238,0.025081718,3.697010656964814E-5
6078934124781402112,659,0.8382094264060068,0.023964135,189.79722335718262,-51.19626033631874,14.478248,-12.660416183450637,0.021450443,-3.965301712047655,0.017598314,6.570526058401373E-5
6078934124773338496,660,0.12072563901221722,0.16421604,189.77872494830416,-51.196324901765855,18.683819,-0.13598003689856797,0.16317797,-7.538129298944861,0.13551128,3.167535536198676E-5
6078980093809277440,661,0.4729843991385696,0.2351043,189.5845151661143,-51.19691366097755,19.165895,-6.052106668507712,0.24869975,0.3471518612523021,0.18171452,2.521807686358568E-5
6078980299967707776,662,0.44615462176229215,0.16757157,189.57969783625933,-51.19693493010914,18.70673,-11.222245532089158,0.17286548,-1.8090434127259334,0.1385179,6.13868188071383E-5
6078980987162481024,663,0.21562110198767184,0.049789585,189.51080327702093,-51.19697860789498,16.429693,-5.191130702525526,0.04546439,2.057383169020463,0.039966434,2.8898878928331185E-5
6078933540657730944,664,-0.0836368498095662,0.31506076,189.64643385200728,-51.19664456495839,19.609987,-5.147825848637063,0.30079916,-0.755271560104736,0.23710617,2.7354587131561603E-5
6078957588180651264,665,0.056381756024211555,0.050990507,189.50096671235573,-51.19695123713715,16.532955,-5.078213367252607,0.047371294,-0.30586915012956994,0.040016405,1.7996535854998383E-5
6078933570723533056,666,-0.03951231351705381,0.087691694,189.6870206593834,-51.19634310184964,17.637438,-1.3298299555054138,0.085498475,0.24276297298091193,0.072048165,9.363728676654889E-6
6078980299967711616,667,0.35806683675809464,0.049303155,189.5661352624492,-51.196512969664646,16.51589,-3.3095211504339606,0.044903047,-2.982118107821223,0.038788125,1.4975418226179757E-5
6078934124781400448,668,0.841540844402219,0.051194664,189.77703852560663,-51.19559896121293,16.540379,-9.160647441698707,0.04763293,-1.7317769978370003,0.039666183,4.421259339913203E-5
6078934811976163200,669,0.1655134049355524,0.14122702,189.72562262638507,-51.19572757771622,18.496964,-6.172439525244411,0.13605562,0.666698618343678,0.114426516,2.5389313728820338E-5
6078934090425085056,670,0.27886356702747617,0.079602286,189.77388722656275,-51.19536453885631,17.432985,-10.156285150596918,0.07350853,0.5499598271632435,0.06386616,4.745843380015847E-5
6078934262220359296,671,0.12093003966317334,0.10626946,189.84617884820486,-51.19498055975122,17.919565,-9.276096052676083,0.1011912,-0.7994997184472044,0.09104579,4.301624495464919E-5
6078934090421660544,672,0.28831860921634034,0.025597317,189.75662492764087,-51.19533374559045,14.996858,-9.331927467034378,0.021712162,-1.7975623458910421,0.018170321,5.03490026527487E-5
6078933570723532928,673,0.4229395886832934,0.061357427,189.6904793083519,-51.1954711747579,14.934239,-5.536217625766133,0.056429524,4.562151387461186,0.040432088,4.305168977550696E-5
6078934811976164736,674,0.7028088909717032,0.05671535,189.74001418095241,-51.19531772168763,16.74418,-10.902685103097427,0.04909877,-8.631353962900976,0.042724643,7.98940655161145E-5
6078933952982711936,675,0.6151260989816528,0.027076364,189.8099141668469,-51.19477713586907,15.144095,-9.107560647107846,0.02295429,-2.2474290389244085,0.019362554,4.4045622484490084E-5
6078934124781402624,676,0.14973596029353264,0.018977506,189.78801647773113,-51.19452218213266,14.283684,-7.511908325362403,0.016554348,0.055265634186571794,0.013869492,3.391889049549178E-5
