source_id,pyxis_oid,parallax,parallax_error,ra,dec,phot_g_mean_mag,pmra,pmra_error,pmdec,pmdec_error,ang_sep
5623058457660532224,596,0.08804517730087767,0.11870973,137.0238374515322,-37.295685989761964,18.432034,-6.616580355025938,0.11487134,2.9072925896956505,0.14250737,4.423763208795917E-5
5623058977353174528,597,0.3545059646532446,0.38460076,137.08428406063842,-37.29547144343267,20.041203,-4.444674595865466,0.37403274,1.679141602418219,0.43894112,2.941901288026234E-5
5623105191206752384,598,0.08643992813949795,0.013462607,136.92861409826455,-37.295847425065915,13.874398,-2.961049007640208,0.012931624,2.2971926166352343,0.014830903,8.797866488976416E-6
5623059698907709952,599,0.5555951075811049,0.37480345,137.07225182494813,-37.29548360898165,20.035313,-2.965794763102781,0.36243975,2.058347525784699,0.42836472,2.4325256449356886E-5
5623105878396495616,600,-0.22109441553375908,0.19980623,136.8936952882208,-37.295833908743646,18.953796,-3.6518581748739285,0.17546107,2.9217713165882255,0.21432516,1.8546709177093387E-5
5623105908461478528,601,0.11910259541408193,0.39880338,136.90048721376453,-37.29569706224605,19.86942,-2.525156195705322,0.35203567,2.268194513073633,0.39180785,8.578773231664664E-6
5623105324345928320,602,0.39342038092096443,0.08296497,136.97928354948408,-37.2955115422132,17.765432,-4.4749294731190705,0.080388755,2.7504398161658603,0.111363,3.0559200680911094E-5
5623105156841934848,603,0.22349953878227147,0.23635328,136.91588129269033,-37.29564086485106,18.629787,-1.8799316025389607,0.22321348,2.91911344642687,0.24765375,4.21079348244023E-5
5623058496316953088,605,-0.276935212298084,0.6881665,137.0348016951547,-37.295070076200865,20.519669,-2.8432522763772368,0.6748712,2.300243215467523,0.71728617,1.544053264845833E-5
5623105324345940224,606,0.05795902676328759,0.070199974,136.97311206874676,-37.294877647809734,17.420248,-4.865146694525692,0.06622881,2.38115559654978,0.09233665,3.340189575698804E-5
5623058427601470592,607,0.26741567225972374,0.08703017,137.00416259728362,-37.294754096449864,17.81319,-2.3415093454056954,0.08517988,2.0456239235102487,0.121937744,1.9790779584331577E-5
5623105152550172544,608,0.2848515374719761,0.08617817,136.91655356468144,-37.2948622313366,17.705011,-2.969831172516508,0.086338036,3.162906240205757,0.1002844,1.7628654260485844E-5
5623100243404572160,609,0.24210119790976806,0.07306541,136.85043013356298,-37.29473253253618,17.270554,-2.0868806717016364,0.064567,4.565209371918287,0.08236573,4.945556261692056E-5
5623058492022539776,610,0.09374490131420843,0.055698924,137.03001580191332,-37.29440794290002,16.167643,-2.6518000259159344,0.05135337,2.075820942512771,0.060355835,4.635854991651099E-5
5623100243404572416,612,0.7228058540200338,0.28264174,136.84929525510626,-37.29455837359394,19.383453,-5.403824000362452,0.25127628,4.622840204361241,0.27663216,4.8785129947624196E-5
5623058290162497920,613,0.620237120309591,0.08749557,137.0491546356693,-37.294092458603686,17.934578,-7.001287860853293,0.08420584,3.4212756790494967,0.09714423,4.6625099305044366E-5
5623059694616660224,614,-0.3679305300810746,0.85768735,137.06346864482882,-37.29404644492404,20.654829,-1.3896960922370383,0.7378858,4.129028886586927,0.87266654,1.8193917462467262E-5
5623058835619923328,615,0.09563254994364685,0.0990191,137.1270448953814,-37.293725791257536,18.11429,-3.1411882259737256,0.09658037,1.8228899159743128,0.10600218,1.3694812842468942E-5
5623105019408053504,616,0.22744686304029824,0.039708715,136.95255298257777,-37.29420214399302,16.449696,-5.339141204415526,0.038247913,5.3811140098624755,0.045328345,3.3478782425880854E-5
5623058427601471104,617,-0.0965797114288642,0.20167695,137.00297528164512,-37.294142552135376,19.143017,-4.245239843894712,0.18607071,-3.472949391980577,0.22678852,4.793239027507859E-5
5623058461961201280,618,0.18341184813171815,0.08053981,137.02277122989247,-37.29402003595194,17.78056,-2.6315908846544174,0.08150211,1.5955177734254695,0.10750699,2.5337103486772294E-5
5623105152547239552,619,0.07576104917946544,0.110502005,136.90705487497047,-37.294201267416724,18.180214,-3.28074663022497,0.1017442,2.3332365638344768,0.11436525,1.730136943383616E-5
5623058423303060224,620,0.5801511099104959,0.12868227,136.99783600901196,-37.293988894157174,18.474615,-6.520660880397159,0.12487455,0.8503327087672319,0.15475728,4.088786236141757E-5
5623105156841946240,621,0.5036187076509163,0.7951258,136.91147714675742,-37.29408034648558,20.508463,-3.2570232308902307,0.6902817,3.7928647141259724,0.82873493,2.983537837630418E-5
5623058973058876160,622,0.17645478768366282,0.15106973,137.0843417916138,-37.29366168688138,18.83638,-5.351384315829723,0.15134266,4.166017789997909,0.17106785,3.684568851223427E-5
5623100067305960704,623,0.33466248130620024,0.16033188,136.86378844664898,-37.29404817034419,18.672264,-4.3127166810951465,0.14079395,2.863911543081299,0.17291889,3.437903621654063E-5
5623105015108287488,624,0.22007992387603853,0.15887329,136.94996560162048,-37.293916883550814,18.82423,-1.696910277804291,0.15124716,5.627560217125149,0.17548555,1.7935221639884326E-5
5623059694613380736,625,0.8712857383952243,0.37922516,137.0644024191395,-37.29352906142871,20.003012,-1.907990271488353,0.35930791,0.42483932094964383,0.41818553,1.4689930930800391E-5
5623105324345935616,627,0.04750587344562289,0.060485885,136.9821531567678,-37.29336313333666,17.120363,-2.798215650397533,0.055343952,1.9190375034610152,0.07832917,1.9309333437770685E-5
5623058526382280320,628,0.3594283304362352,0.16214268,137.01166381054546,-37.29296456306409,18.8948,-1.5411472458668238,0.15659137,2.0386565560151144,0.19037366,1.59068561577773E-5
5623105019402889856,629,0.039554720319402,0.37568778,136.95496495354405,-37.29305120142728,19.957909,-4.724921596320008,0.3361202,3.9025187134149917,0.39935124,2.0433752941014488E-5
5623059698914388224,630,0.34521219831479505,0.59835213,137.05960868773371,-37.29274994788813,20.36993,-3.0013466423677153,0.52704597,3.7598098789199144,0.6769342,2.2409422269479462E-5
5623105328645694976,631,0.8264724864657844,0.017828254,136.9735395217483,-37.292935477754305,14.643166,-1.9390650427116316,0.01682166,3.9541948998899086,0.020540597,2.0587940614280202E-5
5623105255626459136,632,0.5841733668185277,0.24840713,136.9246186763666,-37.29296807022563,19.31443,-3.066688461875323,0.22148554,1.9396869608851532,0.25514516,1.52897809542257E-5
5623059763332862592,633,0.1937908410605599,0.20089872,137.0576984948323,-37.29261563917889,19.22244,-5.074082020839107,0.19145674,3.825568195341699,0.22107165,3.650054356758481E-5
5623058835619927936,634,0.24678442676338902,0.06858046,137.13009359910583,-37.29224351742669,17.48307,-2.9395662463571792,0.069966204,1.6033509735876343,0.086088836,9.671483148776222E-6
5623105878403072768,636,-2.899873039065602,0.54531956,136.893805263616,-37.29271509069505,17.395065,-7.613086583907768,0.520939,-0.4114264777378818,0.6359456,4.5459058649113445E-5
5623058835619927808,637,0.20960019402436234,0.1320949,137.1332069673486,-37.292110325077445,18.645664,-3.210402853380617,0.13358782,3.1323651240268253,0.15569596,1.614839001182406E-5
5623100312125460992,638,0.2729743837847573,0.57131004,136.8318000520539,-37.29274792492885,19.833134,-7.751988108299601,0.49398726,1.5487730522472938,0.60667175,6.234260335947038E-5
5623059007418619136,639,0.8511565570246692,0.06097937,137.10888526750523,-37.292173826529265,17.310501,9.324213907582052,0.062019512,-0.6790920305176988,0.073996834,6.323291469448539E-5
5623059076138096640,640,0.4262138240122651,0.12543039,137.09637817929246,-37.29184550701646,18.470219,-4.044616794999431,0.12045256,3.069939545802122,0.14051768,2.6817622584095085E-5
5623100239104657920,641,0.057304517740806526,0.35445398,136.8505890637058,-37.29231559889716,19.724556,-7.15432659343569,0.3138317,0.6988498648847554,0.3507648,6.04058803868836E-5
5623105015108293376,642,0.27801036321560707,0.30574706,136.95952023518544,-37.29214592969193,19.673138,-3.7506235804619927,0.27342957,1.106119599170166,0.3230747,1.6113551706859766E-5
5623105328645693952,643,0.1276783322421876,0.058310937,136.97836744562542,-37.29186001738695,17.079576,-4.288425335009291,0.057427023,3.659005460523811,0.07084365,3.2862678042841123E-5
5623100312123925376,644,0.5620819195329316,0.02211489,136.8375205355381,-37.291944345411224,15.050656,-5.5658376361707,0.019641995,2.53720754140378,0.022763556,4.216587291727697E-5
5623058496320931712,645,0.1981191265196316,0.046569917,137.03628200442353,-37.29149866471038,16.763914,-4.2279193279329474,0.045041084,2.0125456713664613,0.052528646,3.287045198840151E-5
5623105152547246976,646,0.2993444323040754,0.31327358,136.90926052863583,-37.29171204218336,19.683945,-4.257377291366698,0.2921537,4.190771794226681,0.31143346,2.713098864345027E-5
5623105328640481792,647,0.42510892620817997,0.2817616,136.97342367824476,-37.29146847310442,19.568277,-3.5139379548422864,0.2754571,2.6309155909358855,0.30678007,1.978329917986131E-5
