"","num","RA","Dec"
"5191",5191,264.401776859987,-3.27942382675088
"5192",5192,264.401716842608,-3.25629050985491
"5193",5193,264.401707654934,-3.25355657447827
"5194",5194,264.40175066508,-3.27145749046847
"5195",5195,264.401638005459,-3.23128486100425
"5196",5196,264.401601050791,-3.21707441244709
"5197",5197,264.4016325274,-3.23084238010249
"5198",5198,264.401681369608,-3.25094659080784
"5199",5199,264.401715151496,-3.26495847282155
"5200",5200,264.40162771887,-3.23425517638267
"5201",5201,264.401575276619,-3.21598077251807
"5202",5202,264.401577066968,-3.21988317896911
"5203",5203,264.401648991075,-3.24918516228653
"5204",5204,264.401629945427,-3.24389514370675
"5205",5205,264.401641604997,-3.24930663259795
"5206",5206,264.401871060115,-3.34196642922574
"5207",5207,264.401873433663,-3.34670978777745
"5208",5208,264.401613840317,-3.24589613881514
"5209",5209,264.40159764488,-3.24001630901805
"5210",5210,264.401634596702,-3.2565016061068
"5211",5211,264.401698819852,-3.28589075034017
"5212",5212,264.40161436041,-3.26108757627528
"5213",5213,264.401561345082,-3.24315827718688
"5214",5214,264.40161768288,-3.26581100551118
"5215",5215,264.40156003123,-3.24597246039153
"5216",5216,264.401456193459,-3.2058852880235
"5217",5217,264.401105157771,-3.06863100081296
"5218",5218,264.401558232323,-3.24898933346701
"5219",5219,264.401906352543,-3.3865854453884
"5220",5220,264.401487447706,-3.22267514179277
"5221",5221,264.401598805006,-3.27079956174454
"5222",5222,264.401513535588,-3.23765726855141
"5223",5223,264.401572733797,-3.26112911945578
"5224",5224,264.40109981965,-3.07551736207402
"5225",5225,264.401522273805,-3.24805784704556
"5226",5226,264.401683640302,-3.31323514991121
"5227",5227,264.401523498579,-3.2542793506088
"5228",5228,264.401480199134,-3.23933113387062
"5229",5229,264.401519733882,-3.25897972467078
"5230",5230,264.401383272066,-3.20976043418138
"5231",5231,264.401487909501,-3.25309714459863
"5232",5232,264.401427364618,-3.22949124505723
"5233",5233,264.40146893888,-3.24748854481443
"5234",5234,264.401452386268,-3.24102939081494
"5235",5235,264.401432386889,-3.23803930357318
"5236",5236,264.401440749566,-3.24609917351508
"5237",5237,264.401276143398,-3.18441934047452
"5238",5238,264.401432430516,-3.25221272057192
"5239",5239,264.401407464533,-3.24669929492622
"5240",5240,264.40147724638,-3.27551409903169
"5241",5241,264.401443362586,-3.26303662035138
"5242",5242,264.401400627023,-3.25115853248453
"5243",5243,264.401426516221,-3.26373822333696
"5244",5244,264.401307970931,-3.21725941882358
"5245",5245,264.401352118375,-3.23604652643068
"5246",5246,264.401399289042,-3.2574249561025
"5247",5247,264.401392772073,-3.25867967880868
"5248",5248,264.401199990136,-3.18592759241027
"5249",5249,264.401294885808,-3.22342701644939
"5250",5250,264.401343684349,-3.24877615046016
"5251",5251,264.401257584466,-3.2182837844433
"5252",5252,264.401339236409,-3.25123688234363
"5253",5253,264.401299330931,-3.24226758017393
"5254",5254,264.401315369897,-3.24975055833051
"5255",5255,264.401332987756,-3.25741494117815
"5256",5256,264.401346142228,-3.26385560909843
"5257",5257,264.401275863628,-3.23940241040091
"5258",5258,264.401288099102,-3.24499809460938
"5259",5259,264.401228599375,-3.22294041535307
"5260",5260,264.401358163021,-3.27405616330702
"5261",5261,264.401339773624,-3.27064464495945
"5262",5262,264.40120872267,-3.22867400945742
"5263",5263,264.40121304743,-3.23068064258659
"5264",5264,264.401208583692,-3.22989016346974
"5265",5265,264.401246018469,-3.24981287329088
"5266",5266,264.401278063629,-3.26459219088393
"5267",5267,264.401270699397,-3.26555696712524
"5268",5268,264.401240439966,-3.25739673564081
"5269",5269,264.401222453086,-3.25103174705059
"5270",5270,264.40115994747,-3.2303343099319
"5271",5271,264.401212416579,-3.25357651191018
"5272",5272,264.401146987563,-3.228397113743
"5273",5273,264.401195629684,-3.248076101015
"5274",5274,264.401211930172,-3.25588412756618
"5275",5275,264.401168436879,-3.2394534366334
