## Cluster   RGC      RSun  DELTAR  [Fe/H]     MV   E(B-V)  M_GC  Delta M  M/L  Delta M/L  Age     Mini    Error   Ltime     Error   chi^2  rlhp    rm    trh    NV  alpha_s   vesc   v0esc   sig0    rmin    rmax      l       b
##  (1)      (3)       (4)   (5)      (6)     (7)    (8)     (9)   (10)   (11)    (12)     (13)    (14)     (15)    (16)      (17)   (18)   (19)   (20)   (21)  (22)  (23)     (24)   (25)    (26)    (27)    (28)     (29)   (30)
 NGC 6256     2.14    7.24    0.29   -1.02   -7.12   1.09   5.05   3.44   1.85   0.05    13.00     5.89     4.88     4.61     0.56   0.74   2.94   4.21   9.02  1722  -0.61  19.789  44.940    5.43    1.42    2.18  347.79    3.31
 NGC 6266     2.43    6.41    0.10   -1.18   -8.89   0.47   5.83   3.69   2.20   0.02    12.30     6.35     4.82    15.84     1.06   1.34   1.84   3.00   9.14 17200  -0.61  61.258  94.143   15.41    0.84    2.42  353.57    7.32
 NGC 6273     1.46    8.34    0.16   -1.74   -8.90   0.38   5.86   4.57   2.31   0.12    12.40     6.30     4.32    24.30     0.76   1.00   3.16   4.70   9.47   977  -0.83  44.772  83.587   11.62    1.22    3.29  356.87    9.38
 NGC 6284     6.03   14.21    0.42   -1.26   -7.64   0.28   5.24   4.47   1.78   0.30    11.80     5.92     4.51     7.28     0.49   1.39   2.94   4.04   9.03   101   0.18  27.564  53.908    6.83    1.02    6.48  358.35    9.94
 NGC 6287     1.68    7.93    0.37   -2.10   -6.96   0.60   5.11   4.20   2.50   0.31    13.90     6.00     4.71     4.38     0.31   0.02   1.94   2.81   8.71   308  -0.26  26.800  50.216    6.76    0.91    4.16    0.13   11.02
 NGC 6293     1.44    9.19    0.28   -1.99   -7.44   0.33   5.25   4.13   2.20   0.17    12.80     6.31     5.78     2.20     0.69   0.68   2.21   3.17   8.85   160  -0.36  30.525  62.697    7.66    0.44    2.79  357.62    7.83
 NGC 6304     2.50    6.15    0.15   -0.45   -7.44   0.54   4.92   3.46   1.04   0.04    12.00     5.76     4.59     4.35     0.39   1.86   1.82   2.36   8.41   325   1.01  23.251  51.931    5.84    1.56    2.70  355.83    5.38
 NGC 6316     2.87   11.15    0.39   -0.45   -7.90   0.54   5.46   4.56   2.31   0.29    11.25     6.09     5.33     8.81     2.30   0.41   2.92   4.26   9.17   170  -0.11  32.935  70.615    8.29    0.87    3.85  357.18    5.76
 NGC 6325     1.48    7.53    0.32   -1.25   -6.31   0.91   4.79   3.33   2.17   0.07    12.50     5.99     4.46     1.64     0.06   0.58   1.72   2.38   8.41  1110  -0.00  20.575  34.501    5.30    1.05    1.31    0.97    8.00
 NGC 6333     1.77    8.30    0.14   -1.77   -8.12   0.38   5.49   4.37   2.03   0.15    12.60     6.03     3.86    13.90     0.20   0.40   2.74   3.81   9.11   627  -0.11  32.401  50.387    8.60    1.22    6.14    5.54   10.71
